user,text,sentiment,score
Student,When did the symptoms start?,neutral,0.0
Agent,"It all started about five or six days ago. She threw up once, got really tired, and became more fussy than usual. The fever came the next day, and then two days ago she started limping and saying her right hip hurt. The red spots on her legs showed up yesterday.",negative,-0.7645
Student,The news? I wanted this into fight. You want me to ask?,negative,-0.3939
Agent,"I’m sorry, I didn’t quite understand what you meant. Could you say that a different way? I just want to make sure I’m answering your question about Charity.",positive,0.6249
Student,What do the spots look like? Are they itchy?,positive,0.1926
Agent,"They’re tiny red spots, mostly on her lower legs. They don’t go away when I press on them. She hasn’t scratched at them or said they itch, so I don’t think they’re bothering her that way.",negative,-0.5859
Student,Is Charity in pain?,negative,-0.128
Agent,"Yes, she points to her right hip and says it hurts, especially when she tries to walk. She’s been limping and doesn’t want to put much weight on that leg. Other than that, she just seems tired and quiet.",negative,-0.4588
Student,Has Charity received all her childhood vaccinations?,positive,0.4215
Agent,"Yes, she’s had all her shots on time. Her pediatrician keeps us updated, and we haven’t missed any appointments for her vaccines.",positive,0.128
Student,Did Charity do anything different the day her symptoms started?,positive,0.4215
Agent,"Not really. She was just at home with us that day, playing like usual. She didn’t fall or get hurt, and nothing out of the ordinary happened. The only new thing is she started preschool two days ago, but her symptoms began before that.",neutral,-0.0129
Student,Anything make the pain better? Have you given anything over the counter?,negative,-0.1926
Agent,"I’ve given her ibuprofen when she seemed uncomfortable, and it helped a little with the pain and fever. She still limps, but she’s a bit less fussy after taking it. Other than that, we’ve just tried to keep her resting and comfortable at home.",positive,0.3883
Student,Anything that makes it worse?,negative,-0.4767
Agent,"Walking or putting weight on her right leg seems to make it worse. She tries to avoid standing or moving much, and sometimes she cries if she moves the wrong way. Other than that, nothing else seems to make the pain worse.",negative,-0.9477
Student,Is the pain constant or do you notice it being worse at any time throughout the day?,negative,-0.7506
Agent,"It’s not constant. She seems to hurt more when she first wakes up or tries to walk after sitting for a while. Sometimes she’ll play a little, but then she’ll stop and say her hip hurts again. It comes and goes, but walking definitely makes it worse.",negative,-0.7814
Student,Does she have any bruising that you’ve noticed?,neutral,0.0
Agent,"No, I haven’t noticed any bruises on her. Just those tiny red spots on her lower legs. I check her skin every day now, just to be sure, but there haven’t been any bruises.",neutral,0.0129
Student,Any recent travel or exposure to sick contacts?,negative,-0.5106
Agent,"No, we haven’t traveled anywhere recently. No one at home has been sick, and I haven’t heard about any illnesses at her preschool either. She’s mostly been with family, so I don’t think she’s been exposed to anything unusual.",negative,-0.8402
Student,Any history of blood disorders or autoimmune disorders in Charity’s family?,neutral,0.0
