user,text,sentiment,score
Student,You wanna start this way and go around ask a question.,neutral,0.0
Agent,"Okay, I’m ready. What do you need to know about Charity?",positive,0.7351
Student,Can you tell me more about the fevers?,neutral,0.0
Agent,"Her fever hasn’t been very high — just around a hundred degrees when I check. It comes and goes, not constant. She’ll feel warm for a while, then seem okay, and then it comes back. It’s been happening off and on for a couple days now.",positive,0.4215
Student,Has she had any easy bruising?,positive,0.4404
Agent,"I haven’t noticed any bruises, just these tiny red spots on her legs. They don’t go away when I press on them. I’m not sure if that’s the same thing, but it’s new for her.",negative,-0.1232
Student,Has any of this happened before?,neutral,0.0
Agent,"No, she’s never had anything like this before. She’s always been healthy. This is the first time I’ve seen her limp or get these red spots.",positive,0.1506
Student,Where is the bone pain located?,negative,-0.5106
Agent,She points to her right hip and says it hurts. She’s been limping and doesn’t want to put weight on that leg. It started about two or three days ago.,negative,-0.4215
Student,Can you describe the bone pain?,negative,-0.5106
Agent,"She just says it hurts and sometimes cries if I touch her right hip or try to help her walk. She’s not able to tell me much more, but she definitely avoids using that leg and looks uncomfortable when moving.",negative,-0.3725
Student,Does she complain throughout the day about her fever or her bone pain? Or is it just once a day?,negative,-0.7319
Agent,"She complains about her hip pain a few times a day, especially when she tries to walk or stand. The fever doesn’t seem to bother her as much, but she gets more fussy and tired when she feels warm. It’s not just once; it’s on and off.",negative,-0.7612
Student,Does anything seem to make the pain better?,negative,-0.1027
Agent,"Ibuprofen helps a little with her pain and fever. She seems more comfortable for a while after I give it, but the pain comes back later. Resting and not walking much also seem to help.",neutral,0.046
Student,Does the pain radiate anywhere else besides the hip?,negative,-0.5106
Agent,"No, she only points to her right hip. She hasn’t said anything about pain anywhere else, and I haven’t noticed her favoring any other part of her body.",negative,-0.128
Student,"Umm, can you describe what the rash is like?",negative,-0.0516
Agent,"It’s tiny red spots on both her lower legs. They don’t go away when I press on them. They aren’t raised or itchy, just flat and look like little dots. I noticed them yesterday, and there weren’t any before.",negative,-0.2023
Student,Are they spreading anywhere?,neutral,0.0
Agent,"No, they’re just on her lower legs right now. I haven’t seen them anywhere else on her body.",negative,-0.296
Student,Does she feel any tenderness in her lower legs?,positive,0.1531
Agent,"She hasn’t said her lower legs hurt, just her hip. When I touch the spots, she doesn’t seem bothered or say anything about pain there.",negative,-0.8807
Student,Has she been?,neutral,0.0
